m,run,gold,majority_flex,majority_exact,bom_flex,bom_exact,total_think,total_toks
4,0,540,False,False,False,False,16016,20120
4,0,204,False,False,False,False,16012,20120
4,0,721,False,False,False,False,16008,20120
4,0,236,True,True,True,True,16016,18961
4,0,809,False,False,False,False,16016,20120
4,0,45,False,False,False,False,16016,20120
4,0,385,False,False,False,False,16016,20120
4,0,104,False,False,False,False,20112,20120
4,0,601,False,False,False,False,16016,20120
4,0,23,False,False,False,False,16016,20120
4,0,321,False,False,False,False,20112,20120
4,0,104,False,False,False,False,16016,20120
4,0,902,False,False,False,False,16016,18616
4,0,211,False,False,False,False,16016,20120
4,0,113,False,False,False,False,16008,20120
4,0,33,False,False,False,False,16012,20120
4,0,110,False,False,False,False,16016,20120
4,0,25,True,True,True,True,16016,17900
4,0,73,False,False,False,False,16016,20120
4,0,55,False,False,False,False,20104,20120
4,0,127,False,False,False,False,16016,20120
4,0,294,False,False,False,False,18008,20120
4,0,468,False,False,False,False,16016,20120
4,0,197,False,False,False,False,20112,20120
4,0,480,False,False,False,False,16012,20120
4,0,699,False,False,False,False,20112,20120
4,0,315,False,False,False,False,20112,20120
4,0,371,False,False,False,False,20112,20120
4,0,80,False,False,False,False,20112,20120
4,0,116,True,True,True,True,16008,19012
