budget,gold,correct_flex,correct_exact,think_len,total_len
1024,540,False,False,2052,2054
1024,204,False,False,2052,2054
1024,721,False,False,2052,2054
1024,236,False,False,1028,2054
1024,809,False,False,2052,2054
1024,45,False,False,1028,2054
1024,385,False,False,2051,2054
1024,104,False,False,2052,2054
1024,601,False,False,2052,2054
1024,23,False,False,1028,2054
1024,321,False,False,2052,2054
1024,104,False,False,2052,2054
1024,902,False,False,2052,2054
1024,211,False,False,2052,2054
1024,113,False,False,2052,2054
1024,33,False,False,2052,2054
1024,110,False,False,2052,2054
1024,25,True,False,2052,2054
1024,73,False,False,1028,2054
1024,55,False,False,2052,2054
1024,127,False,False,2052,2054
1024,294,False,False,2052,2054
1024,468,False,False,2051,2054
1024,197,False,False,2052,2054
1024,480,False,False,1028,2054
1024,699,False,False,2051,2054
1024,315,False,False,2052,2054
1024,371,False,False,2052,2054
1024,80,False,False,2052,2054
1024,116,False,False,2051,2054
